ALIM_CODE;FOOD_LABEL;nrj_kj;nrj_kcal;eau_g;sel_g;sodium_mg;magnesium_mg;phosphore_mg;potassium_mg;calcium_mg;manganese_mg;fer_mg;cuivre_mg;zinc_mg;selenium_mcg;iode_mcg;proteines_g;glucides_g;sucres_g;fructose_g;galactose_g;glucose_g;lactose_g;maltose_g;saccharose_g;amidon_g;polyols_g;fibres_g;lipides_g;ags_g;agmi_g;agpi_g;ag_04_0_g;ag_06_0_g;ag_08_0_g;ag_10_0_g;ag_12_0_g;ag_14_0_g;ag_16_0_g;ag_18_0_g;ag_18_1_ole_g;ag_18_2_lino_g;ag_18_3_a_lino_g;ag_20_4_ara_g;ag_20_5_epa_g;ag_20_6_dha_g;retinol_mcg;beta_carotene_mcg;vitamine_d_mcg;vitamine_e_mg;vitamine_k1_mcg;vitamine_k2_mcg;vitamine_c_mg;vitamine_b1_mg;vitamine_b2_mg;vitamine_b3_mg;vitamine_b5_mg;vitamine_b6_mg;vitamine_b12_mcg;vitamine_b9_mcg;alcool_g;acides_organiques_g;cholesterol_mg
20007;Carotte, appertisée, égouttée;92;21.9;93;0.58;233;8;24;179;25;0.45;0.64;0.1;0.26;0.85;2;0.67;3.4;2.49;0.62;0.1;0.65;0.1;0.1;0.25;0.47;0.13;1.75;0.2;0.057;0.009;0.092;0;0;0;0;0.002;0.001;0.027;0.001;0.007;0.078;0.011;0;0;0;0;5330;0;0.74;9.8;0;2.7;0.018;0.03;0.55;0.14;0.11;0;9;0;0.19;0
20009;Carotte, crue;169;40.2;88.1;0.11;43;10;22;230;25;0.1;0.24;0.05;0.18;10;10;0.63;7.59;6;0.9;0;1.1;0.1;0.1;4;0.4;0.25;2.7;0.25;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0;8290;0;0.27;2.96;0;2.05;0.028;0.005;0.05;0.2;0.093;0;59.4;0;0.014;0
20010;Champignon, tout type, cru;91.2;21.7;92.6;0.012;4.76;10.9;85.6;341;7.78;0.061;0.69;0.32;0.65;1.39;1;2.37;1.88;1.43;0.17;0;0.82;0;0.05;0.05;0;0.45;1.72;0.23;0.055;0.003;0.12;0;0;0;0;0;0.00088;0.048;0.0066;0.003;0.023;0.099;0;0;0;0;0;0.2;0.01;0;0;3.4;0.084;0.42;4.55;1.75;0.082;0;29;0;0;0
20011;Champignon, tout type, appertisé, égoutté;104;24.9;91.1;1.06;425;6.65;66;129;18.9;0.035;0.79;0.15;0.51;1.1;2;1.87;2.56;2.19;0.62;0.1;0.65;0.1;0.1;0.25;0;0.37;2.4;0.29;0.038;0.005;0.11;0;0;0;0.001;0.003;0.001;0.019;0.006;0.005;0.029;0.0097;0.0048;0;0;0;0;0.2;0.01;0;0;0;0.085;0.021;1.59;0.81;0.061;0;12;0;0.13;0
20012;Salade ou chicorée frisée, crue;93.1;22.3;92.9;0.084;33.5;22.5;37.5;367;76;0.42;0.85;0.2;0.61;1;0.4;1.48;2.4;0.7;0.31;0;0.27;0.039;0.039;0.039;0.18;0.25;2.45;0.25;0.061;0.005;0.11;0;0;0;0;0;0.0035;0.052;0.0025;0.004;0.075;0.013;0.00003;0;0;0;3430;0;2.26;298;0;18.5;0.07;0.088;0.45;1.03;0.063;0;126;0;0;0
20014;Chou rouge, cru;126;30;90.7;0.035;14;9.7;30;260;36;0.12;0.25;0.02;0.15;10;10;1.13;4.33;3.9;1.4;0;2.2;0.1;0.1;0.3;0.18;0.25;2.8;0.25;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0;2.5;0;0.04;6.41;0;18.7;0.036;0.005;0.12;0.24;0.14;0;31.9;0;0.25;0
20016;Chou-fleur, cru;109;26.2;92.9;0.015;6;9.8;40;270;23;0.14;0.27;0.02;0.22;10;10;1.81;2.13;1.7;0.8;0;0.9;0.1;0.1;0.1;0.18;0.25;2.2;0.7;0.24;0.14;0.25;0.005;0.005;0.005;0.005;0.005;0.01;0.18;0.05;0.1;0.08;0.17;0.005;0.005;0.005;0;2.5;0;0.04;3.31;0;4.14;0.031;0.005;0.26;0.72;0.22;0;56.2;0;0.046;0
20019;Concombre, pulpe et peau, cru;65.8;15.6;96;0.012;4.8;13.6;24.7;157;19.2;0.085;0.13;0.026;0.095;5;0.3;0.64;2.54;1.67;0.79;0;0.54;0;0.01;0.03;0.83;0.039;0.6;0.11;0.035;0.004;0.038;0;0;0;0;0;0.003;0.028;0.0039;0.003;0.02;0.018;0;0;0;0;45;0;0.09;16.4;0;8.25;0.022;0.025;0.15;0.28;0.037;0;12.3;0;0.26;0
20020;Courgette, pulpe et peau, crue;69.4;16.5;94.7;0.023;9;17.5;44.7;262;18.7;0.18;0.36;0.052;0.31;0.58;1.64;1.23;1.8;1.79;0.99;0;0.76;0;0;0.036;0;0.014;1.05;0.26;0.061;0.013;0.084;0;0;0;0.015;0.0019;0.00095;0.038;0.0047;0.01;0.03;0.055;0;0;0;0;120;0;0.12;4.3;0;17.5;0.047;0.12;0.47;0.18;0.19;0;36;0;0;0
20023;Céleri branche, cru;73.4;17.6;93.4;0.2;79;11;24;390;46;0.08;0.06;0.03;0.09;10;10;0.63;2.41;1.3;0.44;0.35;0.51;0.1;0.1;0.1;0.18;0.8;2.2;0.25;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0;74.6;0;0.04;4.86;0;5.51;0.0075;0.005;0.05;0.27;0.052;0;56.8;0;0.047;0
